grid_and_slabs,start,method,requested_rank,verified_sequences,median_seconds,range_seconds,outer_iterations,inner_iterations
$ 24^3$,Warm,Jacobi-CG,0,5/5,13.217,12.527--13.481,87,67045
$ 24^3$,Warm,Reference,100,5/5,6.778,6.528--7.398,87,15772
$ 24^3$,Warm,Recycling,100,5/5,10.910,10.681--11.465,87,22394
$ 24^3$,Warm,AmgX,0,5/5,9.159,8.943--9.656,87,2232
$ 32^3$,Warm,Reference,20,5/5,20.072,19.988--20.277,110,66707
$ 32^3$,Warm,Recycling,20,5/5,38.208,38.058--38.452,110,126303
$ 32^3$,Warm,Jacobi-CG,0,5/5,28.813,28.601--29.831,110,145210
$ 32^3$,Warm,Reference,100,5/5,14.648,13.801--15.281,110,33482
$ 32^3$,Warm,Recycling,100,5/5,31.067,29.732--32.253,110,71054
$ 32^3$,Warm,AmgX,0,5/5,25.664,25.394--26.177,110,3503
$ 32^3$,Warm,Reference,200,5/5,14.280,14.210--14.596,110,24888
$ 32^3$,Warm,Recycling,200,5/5,25.856,25.716--26.227,110,29915
$ 32^3$,Cold,Jacobi-CG,0,5/5,107.800,107.424--116.828,511,561979
$ 32^3$,Cold,Reference,100,5/5,57.141,55.525--61.109,511,144478
$ 32^3$,Cold,Recycling,100,5/5,165.841,149.163--173.764,511,430107
$ 32^3$,Cold,AmgX,0,5/5,105.109,103.544--106.343,511,15540
$ 48^3$,Warm,Jacobi-CG,0,5/5,91.065,85.167--93.469,152,412000
$ 48^3$,Warm,Reference,100,5/5,49.548,44.392--83.664,152,93911
$ 48^3$,Warm,Recycling,100,5/5,106.266,105.340--190.897,152,235115
$ 48^3$,Warm,AmgX,0,5/5,88.669,87.954--93.314,152,6149
$ 64^3$,Warm,Jacobi-CG,0,5/5,204.460,198.786--229.704,185,835971
$ 64^3$,Warm,Reference,100,5/5,118.370,118.041--320.937,185,189283
$ 64^3$,Warm,Recycling,100,5/5,309.930,281.169--398.825,185,498971
$ 64^3$,Warm,AmgX,0,5/5,181.939,181.264--213.937,185,8846
