grid_and_slabs,start,method,requested_rank,verified_sequences,median_seconds,range_seconds,outer_iterations,inner_iterations
$ 12^3$$\times 8$,Warm,Jacobi-CG,0,5/5,6.021,5.947--6.262,66,27902
$ 12^3$$\times 8$,Warm,Reference,100,5/5,6.460,6.375--6.681,66,14250
$ 12^3$$\times 8$,Warm,Recycling,100,5/5,6.874,6.839--7.111,66,11199
$ 12^3$$\times 8$,Warm,AmgX,0,5/5,12.829,12.694--13.377,66,1355
$ 16^3$$\times 4$,Warm,Jacobi-CG,0,5/5,9.420,9.303--9.889,75,46500
$ 16^3$$\times 4$,Warm,Reference,100,5/5,6.938,6.746--7.177,75,13379
$ 16^3$$\times 4$,Warm,Recycling,100,5/5,9.142,9.103--9.609,75,16757
$ 16^3$$\times 4$,Warm,AmgX,0,5/5,17.482,17.235--18.136,75,1791
$ 16^3$$\times 8$,Warm,Jacobi-CG,0,5/5,11.747,11.666--12.153,75,52561
$ 16^3$$\times 8$,Warm,Reference,100,5/5,13.442,13.126--13.585,75,25590
$ 16^3$$\times 8$,Warm,Recycling,100,5/5,14.407,13.778--14.933,75,25823
$ 16^3$$\times 8$,Warm,AmgX,0,5/5,25.037,24.870--25.963,75,1821
$ 16^3$$\times 16$,Warm,Jacobi-CG,0,5/5,17.012,16.299--20.291,81,61164
$ 16^3$$\times 16$,Warm,Reference,100,5/5,29.041,26.678--38.886,81,51017
$ 16^3$$\times 16$,Warm,Recycling,100,5/5,29.466,24.094--31.633,81,36965
$ 16^3$$\times 16$,Warm,AmgX,0,5/5,61.252,60.813--62.894,81,1972
$ 16^3$$\times 32$,Warm,Jacobi-CG,0,5/5,23.516,23.204--23.793,83,68312
$ 16^3$$\times 32$,Warm,Reference,100,5/5,45.083,44.670--82.057,83,61047
$ 16^3$$\times 32$,Warm,Recycling,100,5/5,41.070,40.915--94.397,83,47335
$ 16^3$$\times 32$,Warm,AmgX,0,5/5,91.566,90.220--100.912,83,2042
$ 24^3$$\times 8$,Warm,Reference,20,5/5,49.658,48.326--49.842,94,126405
$ 24^3$$\times 8$,Warm,Recycling,20,5/5,51.887,49.919--55.472,94,130582
$ 24^3$$\times 8$,Warm,Jacobi-CG,0,5/5,38.106,36.758--39.448,94,143742
$ 24^3$$\times 8$,Warm,Reference,100,5/5,47.788,46.963--65.075,94,70743
$ 24^3$$\times 8$,Warm,Recycling,100,5/5,60.225,53.822--98.323,94,91269
$ 24^3$$\times 8$,Warm,AmgX,0,5/5,91.872,91.058--93.788,94,3147
$ 24^3$$\times 8$,Warm,Reference,200,5/5,56.855,55.635--90.714,94,42371
$ 24^3$$\times 8$,Warm,Recycling,200,5/5,62.346,61.239--65.309,94,62401
$ 24^3$$\times 8$,Cold,Jacobi-CG,0,5/5,144.785,143.886--145.970,452,584758
$ 24^3$$\times 8$,Cold,Reference,100,5/5,193.181,189.117--264.482,452,305959
$ 24^3$$\times 8$,Cold,Recycling,100,5/5,273.143,272.426--274.258,452,579207
$ 24^3$$\times 8$,Cold,AmgX,0,5/5,384.815,383.123--386.969,452,14647
$ 32^3$$\times 8$,Warm,Jacobi-CG,0,5/5,101.031,96.349--119.959,126,310426
$ 32^3$$\times 8$,Warm,Reference,100,5/5,146.020,142.079--312.980,126,154385
$ 32^3$$\times 8$,Warm,Recycling,100,5/5,158.401,152.506--288.960,126,206094
$ 32^3$$\times 8$,Warm,AmgX,0,5/5,230.574,229.585--312.152,126,4941
