n,warm_start,method,passed_sequences,repetitions,median_seconds,with_common_seconds
24,cold,deflated_gpu_qr,5,5,17.55448157992214,241.3300279341638
24,cold,amgx_persistent_resources,5,5,30.063050642609596,253.83859699685127
24,outer,deflated_gpu_qr,5,5,6.340127602219582,230.11567395646125
24,outer,amgx_persistent_resources,5,5,9.985010273754597,233.76055662799627
24,outer_inner,deflated_gpu_qr,5,5,5.383885296992958,229.15943165123463
24,outer_inner,amgx_persistent_resources,5,5,8.08884901739657,231.86439537163824
32,cold,deflated_gpu_qr,5,5,37.86557377316058,261.64112012740225
32,cold,amgx_persistent_resources,5,5,86.6853090049699,310.46085535921156
32,outer,deflated_gpu_qr,5,5,13.29523582290858,237.07078217715025
32,outer,amgx_persistent_resources,5,5,29.903787658549845,253.67933401279151
32,outer_inner,deflated_gpu_qr,5,5,10.804710963740945,234.5802573179826
32,outer_inner,amgx_persistent_resources,5,5,22.954989257268608,246.73053561151028
