n,rank,deployed_rank,status,iterations,cpu_original_residual,gpu_original_residual,total_seconds,peak_torch_gib,remaining_host_work_seconds
32,0,0,converged,1209,9.814625824140146e-11,9.814625896376938e-11,0.6261993870139122,0.03401374816894531,0.00021704938262701035
32,20,20,converged,552,9.836885678188773e-11,9.836885830674047e-11,0.6834764573723078,0.05514717102050781,0.00018570665270090103
32,200,200,converged,192,8.928633984792268e-11,8.928634443919962e-11,0.5560277728363872,0.2666339874267578,0.00019097048789262772
64,0,0,converged,6597,9.996397294401913e-11,9.99639730708439e-11,2.8388761514797807,0.05578804016113281,0.0002688504755496979
64,20,20,converged,1821,9.955559349812496e-11,9.955559328860225e-11,1.4575033467262983,0.2227802276611328,0.00025111623108386993
64,200,200,converged,617,9.7684834791299e-11,9.768483464401536e-11,0.596743032336235,1.9156513214111328,0.00021544098854064941
102,0,0,maxiter,10000,3.492871629312506e-09,3.4928716293433966e-09,4.646750908344984,0.12137937545776367,0.0003286190330982208
102,20,20,converged,4011,9.869343047770573e-11,9.869343087571386e-11,3.486157868988812,0.8036236763000488,0.00023371819406747818
102,200,200,converged,1387,9.955586289562722e-11,9.955586277394934e-11,2.2858125595375896,7.643576622009277,0.00025984179228544235
128,0,0,maxiter,10000,3.218485354027112e-09,3.2184853539521233e-09,5.219035098329186,0.20739984512329102,0.00029936060309410095
128,20,20,converged,6701,9.994528345971877e-11,9.994528364424449e-11,6.638304681517184,1.5578651428222656,0.00026692915707826614
128,200,200,converged,1934,9.9758195360863e-11,9.975819551553062e-11,4.891946649178863,15.072025299072266,0.00022253673523664474
