family,n,method,repetition,seconds,iterations,statuses
diffusion,16,reference,0,0.018552349880337715,453,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
diffusion,16,recycling,0,0.08475532196462154,766,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
diffusion,16,reference,1,0.018403438851237297,453,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
diffusion,16,recycling,1,0.08463867008686066,766,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
diffusion,16,reference,2,0.01834057830274105,453,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
diffusion,16,recycling,2,0.0839757863432169,766,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
thermal,16,reference,0,0.015873679891228676,274,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
thermal,16,recycling,0,0.03530514985322952,406,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
thermal,16,reference,1,0.01624191179871559,274,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
thermal,16,recycling,1,0.036298906430602074,406,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
thermal,16,reference,2,0.016068605706095695,274,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
thermal,16,recycling,2,0.035420747473835945,406,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
cht,8,reference,0,0.0227972362190485,462,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
cht,8,recycling,0,0.13923969864845276,794,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
cht,8,reference,1,0.02269987016916275,462,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
cht,8,recycling,1,0.13815606571733952,794,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
cht,8,reference,2,0.022654330357909203,462,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
cht,8,recycling,2,0.1378572415560484,794,"['converged', 'converged', 'converged', 'converged', 'converged', 'converged', 'converged']"
