example,n,corner_width,amplitude,retained_rank,largest_angle_degrees,separation,separation_status,residual_angle_bound,sufficient_angle_bound,coupling_angle_bound,bound_status
rank_loss,,,,1,,6.0,rank_loss,,,,unavailable
repeated_cutoff,,,,1,90.0,0.0,nonpositive,,,,unavailable
complete_cluster,,,,2,0.0,2.0,positive,0.0,,,nontrivial
eigenvalue_crossing,,,,1,90.0,0.0,nonpositive,,,,unavailable
controlled_spd,,,0.0,2,1.7729728028933778,2.319947427320402,positive,0.032543126379397824,0.4875498365393508,,nontrivial
controlled_spd,,,0.01,2,1.7801914867198663,2.311595687987449,positive,0.03266070390820728,0.4956232529887533,,nontrivial
controlled_spd,,,0.1,2,1.8479016360475853,2.2354974313515643,positive,0.03377250238001886,0.571235657045483,,nontrivial
controlled_spd,,,0.5,2,2.2236804635396483,1.881576181923116,positive,0.04012505209525009,0.9888620413585952,,nontrivial
controlled_spd,,,1.0,2,2.980536820091006,1.4172253859457546,positive,0.053271937596901416,1.0,,trivial_one
controlled_spd,,,2.0,2,9.170658291324326,0.46194181003357393,positive,0.1634369106259498,1.0,,trivial_one
controlled_spd,,,4.0,2,87.17663693513441,0.0037066606945685976,positive,1.0,1.0,,trivial_one
controlled_spd,,,8.0,2,89.21485096315062,-2.5068256138913547,nonpositive,,,,unavailable
diffusion,4,1,,1,8.340251458254174,1.367977511657203,positive,0.7215230897442386,,0.737968929008281,nontrivial
diffusion,4,2,,1,19.068172132339285,0.6367092536441206,positive,1.0,,1.0,trivial_one
diffusion,4,3,,1,18.048884176768983,0.5056794530705497,positive,1.0,,1.0,trivial_one
diffusion,6,1,,1,5.089802341566673,1.670790343483104,positive,0.8929524046733758,,0.896046271612031,nontrivial
diffusion,6,2,,1,15.4373359438489,0.9174261662250922,positive,1.0,,1.0,trivial_one
diffusion,6,3,,1,24.066586946650865,-0.3956347079281164,nonpositive,,,,unavailable
diffusion,12,1,,1,1.697302969257317,1.9301460960601895,positive,1.0,,1.0,trivial_one
diffusion,12,2,,1,6.574843321435302,1.5752093680567425,positive,1.0,,1.0,trivial_one
diffusion,12,3,,1,13.038012943557804,0.3883432660979462,positive,1.0,,1.0,trivial_one
